Title,Price,Operating system,Display diagonal,Memory,Main Camera,Front Camera,Delivery,Manufacturer,Manufacturer's country,Features
Смартфон Vivo Y31 4/128 GB Ocean Blue,99 990 ₸,Android 11,"6,59″ - 16,74 см",128 GB,48 Mpx + 2 Mpx + 2 Mpx,8 Mpx,бесплатно,Vivo,Китай,"Тонкий корпус. Сканер отпечатков: на боковой грани. Датчики: акселерометр, освещенности, электронный компас, приближения, гироскоп. Быстрая зарядка. Мультисенсорный экран. Управление голосовое и жестами. Селфи с мягким освещением. Режим защиты зрения.HDR."
Смартфон Vivo Y31 4/128 GB Racing Black,99 990 ₸,Android 11,"6,59″ - 16,74 см",128 GB,48 Mpx + 2 Mpx + 2 Mpx,8 Mpx,бесплатно,Vivo,Китай,"Тонкий корпус. Сканер отпечатков: на боковой грани. Датчики: акселерометр, освещенности, электронный компас, приближения, гироскоп. Быстрая зарядка. Мультисенсорный экран. Управление голосовое и жестами. Селфи с мягким освещением. Режим защиты зрения.HDR."
Смартфон Vivo Y31 4/64 GB Ocean Blue,89 990 ₸,Android 11,"6,59″ - 16,74 см",64 GB,48 Mpx + 2 Mpx + 2 Mpx,8 Mpx,бесплатно,Vivo,Китай,"Тонкий корпус. Сканер отпечатков: на боковой грани. Датчики: акселерометр, освещенности, электронный компас, приближения, гироскоп. Быстрая зарядка. Мультисенсорный экран. Управление голосовое и жестами. Селфи с мягким освещением. Режим защиты зрения.HDR."
Смартфон Vivo Y31 4/64 GB Racing Black,89 990 ₸,Android 11,"6,59″ - 16,74 см",64 GB,48 Mpx + 2 Mpx + 2 Mpx,8 Mpx,бесплатно,Vivo,Китай,"Тонкий корпус. Сканер отпечатков: на боковой грани. Датчики: акселерометр, освещенности, электронный компас, приближения, гироскоп. Быстрая зарядка. Мультисенсорный экран. Управление голосовое и жестами. Селфи с мягким освещением. Режим защиты зрения.HDR."
Смартфон Xiaomi 11 Lite 5G NE 6/128GB Truffle Black,179 990 ₸,Android,"6,55″ - 16,64 см",128 GB,64Mpx + 8Mpx + 5Mpx,20 Mpx,бесплатно,Xiaomi,Китай,Поддержка HDR10+ Always on display (10 секунд)
Смартфон Xiaomi 11 Lite 5G NE 8/128GB Bubblegum Blue,189 990 ₸,Android,"6,55″ - 16,64 см",128 GB,64Mpx + 8Mpx + 5Mpx,20 Mpx,бесплатно,Xiaomi,Китай,Поддержка HDR10+ Always on display (10 секунд)
Смартфон Xiaomi 11 Lite 5G NE 8/128GB Truffle Black,189 990 ₸,Android,"6,55″ - 16,64 см",128 GB,64Mpx + 8Mpx + 5Mpx,20 Mpx,бесплатно,Xiaomi,Китай,Поддержка HDR10+ Always on display (10 секунд)
Смартфон Xiaomi 11 Lite 5G NE 8/256GB Bubblegum Blue,209 990 ₸,Android,"6,55″ - 16,64 см",256 GB,64Mpx + 8Mpx + 5Mpx,20 Mpx,бесплатно,Xiaomi,Китай,Поддержка HDR10+ Always on display (10 секунд)
Смартфон Xiaomi 11 Lite 5G NE 8/256GB Truffle Black,209 990 ₸,Android,"6,55″ - 16,64 см",256 GB,64Mpx + 8Mpx + 5Mpx,20 Mpx,бесплатно,Xiaomi,Китай,Поддержка HDR10+ Always on display (10 секунд)
Смартфон Xiaomi Mi 10T 6/128GB Cosmic Black,219 990 ₸,Android,"6,67"" - 16,94 см",128 GB,20 Mpx,"Датчик отпечатков пальцев, Поддержка 4G, Поддержка 5G, Распознавание лица, Тройная камера, NFC",бесплатно,Xiaomi,Китай,Дисплей 144 Гц
Смартфон Xiaomi Mi 10T Pro 8/256GB Cosmic Black,259 990 ₸,Android 10,"6,67"" - 16,94 см",256 GB,108 Mpx + 13 Mpx + 5 Mpx,20 Mpx,бесплатно,Xiaomi,Китай,"Сканер отпечатка пальцев, сканер лица, гироскоп, акселерометр, датчик приближения, датчик освещения, компас"
